Feature Name,Observed Ratio,Expected Ratio,Fold Change,P-value,FDR P-value,Bonferroni P-value,log2(Fold Change),-log10(P-value),-log10(FDR P-value)
GO:0005684,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0071014,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0070176,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0000235,0/120 (0.0%),0/120 (0.0%),0.0,0.9806381502642387,1.0,1.0,0.0,0.008491215182281452,-0.0
GO:0016272,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0060473,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0019774,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0030312,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0001725,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0071144,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0005818,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0097526,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0005879,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0070090,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0008287,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0000421,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0035371,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0036062,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0043195,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0031082,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0030897,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0019773,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0016471,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0005688,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0016342,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:1990023,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0080008,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0043202,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0008074,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0031982,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0008278,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0035097,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0034703,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0008250,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0034518,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0005786,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0030141,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0005687,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0043296,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0030027,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0030018,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0017119,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0005761,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0097038,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:1902711,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0015030,0/120 (0.0%),0/120 (0.0%),0.0,0.9830379010245158,1.0,1.0,0.0,0.007429737622096298,-0.0
GO:0005777,1/120 (0.8%),0/120 (0.0%),5.186075949367088,0.9838949444229899,1.0,1.0,2.3746433344158357,0.0070512709722298575,-0.0
GO:0005765,1/120 (0.8%),0/120 (0.0%),5.186075949367088,0.9838949444229899,1.0,1.0,2.3746433344158357,0.0070512709722298575,-0.0
GO:0044292,0/120 (0.0%),0/120 (0.0%),0.0,0.9854434752347802,1.0,1.0,0.0,0.006368281681500875,-0.0
GO:0045178,0/120 (0.0%),0/120 (0.0%),0.0,0.9854434752347802,1.0,1.0,0.0,0.006368281681500875,-0.0
GO:0044753,0/120 (0.0%),0/120 (0.0%),0.0,0.9854434752347802,1.0,1.0,0.0,0.006368281681500875,-0.0
GO:0101031,0/120 (0.0%),0/120 (0.0%),0.0,0.9854434752347802,1.0,1.0,0.0,0.006368281681500875,-0.0
GO:0000243,0/120 (0.0%),0/120 (0.0%),0.0,0.9854434752347802,1.0,1.0,0.0,0.006368281681500875,-0.0
GO:0071683,0/120 (0.0%),0/120 (0.0%),0.0,0.9854434752347802,1.0,1.0,0.0,0.006368281681500875,-0.0
GO:0005828,0/120 (0.0%),0/120 (0.0%),0.0,0.9854434752347802,1.0,1.0,0.0,0.006368281681500875,-0.0
GO:0061617,0/120 (0.0%),0/120 (0.0%),0.0,0.9854434752347802,1.0,1.0,0.0,0.006368281681500875,-0.0
GO:0033263,0/120 (0.0%),0/120 (0.0%),0.0,0.9854434752347802,1.0,1.0,0.0,0.006368281681500875,-0.0
GO:0071203,0/120 (0.0%),0/120 (0.0%),0.0,0.9854434752347802,1.0,1.0,0.0,0.006368281681500875,-0.0
GO:0030133,0/120 (0.0%),0/120 (0.0%),0.0,0.9854434752347802,1.0,1.0,0.0,0.006368281681500875,-0.0
GO:0044613,0/120 (0.0%),0/120 (0.0%),0.0,0.9854434752347802,1.0,1.0,0.0,0.006368281681500875,-0.0
GO:0098981,0/120 (0.0%),0/120 (0.0%),0.0,0.9854434752347802,1.0,1.0,0.0,0.006368281681500875,-0.0
GO:0043226,0/120 (0.0%),0/120 (0.0%),0.0,0.9854434752347802,1.0,1.0,0.0,0.006368281681500875,-0.0
